antecedent,consequent,support,confidence,lift
{3 11 28},{29},0.604,1.000,1.112
{3 28 29},{11},0.604,0.989,1.167
{3 28},{11 29},0.604,0.983,1.231
{28 29 14},{11},0.608,0.989,1.167
{11 28 21},{29},0.615,0.994,1.106
{3 28},{11},0.604,0.983,1.160
{3 11},{29},0.622,0.989,1.100
{3 29},{11},0.622,0.984,1.161
{3 21},{29},0.601,0.994,1.106
{3 28},{29},0.611,0.994,1.106
{21 14},{11},0.604,0.989,1.167
{28 14},{11},0.622,0.989,1.167
{29 14},{11},0.646,0.984,1.162
{11 21},{29},0.628,0.989,1.100
{21 14},{29},0.604,0.989,1.099
{28 21},{29},0.628,0.995,1.106
{3},{29},0.632,0.984,1.094
{21},{29},0.653,0.984,1.095
